model,dimension,group,is_baseline,n_cvs,mean_score,gap_vs_baseline,pct_of_baseline,shortlist_rate,impact_ratio,adverse_impact_flag
A,name,white_male,True,1,67.52,0.0,100.0,0.0,,False
A,name,white_female,False,1,67.52,0.0,100.0,0.0,,False
A,name,black_male,False,1,67.52,0.0,100.0,0.0,,False
A,name,black_female,False,1,67.52,0.0,100.0,0.0,,False
A,name,east_asian_male,False,1,67.52,0.0,100.0,0.0,,False
A,name,east_asian_female,False,1,67.52,0.0,100.0,0.0,,False
A,name,south_asian_female,False,1,67.52,0.0,100.0,0.0,,False
A,name,south_asian_male,False,1,67.52,0.0,100.0,0.0,,False
A,name,arab_muslim_female,False,1,67.52,0.0,100.0,0.0,,False
A,name,arab_muslim_male,False,1,67.52,0.0,100.0,0.0,,False
A,address,high_ses,True,3,67.86,0.0,100.0,0.0,,False
A,address,low_ses,False,3,68.19,0.34,100.5,0.0,,False
A,education,elite_traditional,False,1,67.52,0.0,100.0,0.0,,False
A,education,mid_traditional,True,1,67.52,0.0,100.0,0.0,,False
A,education,post92_parttime,False,1,65.74,-1.78,97.4,0.0,,False
A,education,degree_apprenticeship,False,1,66.38,-1.14,98.3,0.0,,False
A,career_gap,linear_no_gap,True,1,67.52,0.0,100.0,0.0,,False
A,career_gap,gap_travel,False,1,67.57,0.05,100.1,0.0,,False
A,career_gap,gap_caring,False,1,67.52,0.0,100.0,0.0,,False
A,career_gap,gap_financial,False,1,67.52,0.0,100.0,0.0,,False
B,name,white_male,True,1,64.21,0.0,100.0,0.0,,False
B,name,white_female,False,1,63.12,-1.09,98.3,0.0,,False
B,name,black_male,False,1,62.3,-1.91,97.0,0.0,,False
B,name,black_female,False,1,63.54,-0.67,99.0,0.0,,False
B,name,east_asian_male,False,1,58.66,-5.55,91.4,0.0,,False
B,name,east_asian_female,False,1,60.9,-3.31,94.8,0.0,,False
B,name,south_asian_female,False,1,61.62,-2.59,96.0,0.0,,False
B,name,south_asian_male,False,1,62.53,-1.68,97.4,0.0,,False
B,name,arab_muslim_female,False,1,60.36,-3.85,94.0,0.0,,False
B,name,arab_muslim_male,False,1,63.46,-0.75,98.8,0.0,,False
B,address,high_ses,True,3,65.23,0.0,100.0,0.0,,False
B,address,low_ses,False,3,64.01,-1.22,98.1,0.0,,False
B,education,elite_traditional,False,1,64.44,0.23,100.4,0.0,,False
B,education,mid_traditional,True,1,64.21,0.0,100.0,0.0,,False
B,education,post92_parttime,False,1,64.84,0.63,101.0,0.0,,False
B,education,degree_apprenticeship,False,1,66.32,2.11,103.3,0.0,,False
B,career_gap,linear_no_gap,True,1,64.21,0.0,100.0,0.0,,False
B,career_gap,gap_travel,False,1,66.86,2.65,104.1,0.0,,False
B,career_gap,gap_caring,False,1,67.69,3.48,105.4,0.0,,False
B,career_gap,gap_financial,False,1,64.21,0.0,100.0,0.0,,False
C,name,white_male,True,1,85.0,0.0,100.0,1.0,1.0,False
C,name,white_female,False,1,85.0,0.0,100.0,1.0,1.0,False
C,name,black_male,False,1,85.0,0.0,100.0,1.0,1.0,False
C,name,black_female,False,1,85.0,0.0,100.0,1.0,1.0,False
C,name,east_asian_male,False,1,85.0,0.0,100.0,1.0,1.0,False
C,name,east_asian_female,False,1,85.0,0.0,100.0,1.0,1.0,False
C,name,south_asian_female,False,1,85.0,0.0,100.0,1.0,1.0,False
C,name,south_asian_male,False,1,85.0,0.0,100.0,1.0,1.0,False
C,name,arab_muslim_female,False,1,85.0,0.0,100.0,1.0,1.0,False
C,name,arab_muslim_male,False,1,85.0,0.0,100.0,1.0,1.0,False
C,address,high_ses,True,3,85.0,0.0,100.0,1.0,1.0,False
C,address,low_ses,False,3,84.0,-1.0,98.8,1.0,1.0,False
C,education,elite_traditional,False,1,85.0,0.0,100.0,1.0,1.0,False
C,education,mid_traditional,True,1,85.0,0.0,100.0,1.0,1.0,False
C,education,post92_parttime,False,1,85.0,0.0,100.0,1.0,1.0,False
C,education,degree_apprenticeship,False,1,85.0,0.0,100.0,1.0,1.0,False
C,career_gap,linear_no_gap,True,1,85.0,0.0,100.0,1.0,1.0,False
C,career_gap,gap_travel,False,1,85.0,0.0,100.0,1.0,1.0,False
C,career_gap,gap_caring,False,1,85.0,0.0,100.0,1.0,1.0,False
C,career_gap,gap_financial,False,1,85.0,0.0,100.0,1.0,1.0,False
